1858	-22
1859	20
1860	1
1861	-29
1862	-7
1863	27
1864	-6
1865	-42
1866	46
1867	33
1868	11
1869	9
1870	-27
1871	-4
1872	5
1873	-2
1874	-19
1875	-41
1876	62
1877	24
1878	21
1879	0
1880	-25
1881	7
1882	-10
1883	-29
1884	-20
1885	-18
1886	-7
1887	-31
1888	41
1889	-1
1890	15
1891	-7
1892	19
1893	-57
1894	6
1895	22
1896	39
1897	6
1898	17
1899	16
1900	31
1901	40
1902	-10
1903	-9
1904	8
1905	4
1906	10
1907	41
1908	19
1909	4
1910	-10
1911	-2
1912	8
1913	-24
1914	22
1915	-2
1916	53
1917	36
1918	-12
1919	26
1920	-8
1921	-10
1922	33
1923	12
1924	-14
1925	16
1926	6
1927	36
1928	3
1929	-48
1930	15
1931	-12
1932	-19
1933	-25
1934	-15
1935	0
1936	-21
1937	54
1938	-22
1939	-21
1940	-6
1941	15
1942	-12
1943	-17
1944	16
1945	-7
1946	-58
1947	-14
1948	-23
1949	-29
1950	-8
1951	6
1952	-19
1953	-33
1954	-12
1955	-19
1956	29
1957	-4
1958	-4
1959	8
1960	0
1961	-25
1962	-8
1963	-6
1964	22
1965	56
1966	-5
1967	27
1968	-39
1969	-30
1970	36
1971	-30
1972	21
1973	-17
1974	-26
1975	57
1976	-46
1977	14
1978	4
1979	56
1980	-2
1981	-34
1982	-36
1983	-28
1984	-22
1985	14
1986	-6
1987	-2
1988	27
1989	20
1990	5
1991	-31
1992	53
1993	-29
1994	14
1995	21
1996	-11
1997	12
1998	3
1999	-5
2000	39
2001	47
2002	24
2003	-57
2004	-14
2005	-7
2006	39
2007	-17
2008	31
2009	14
2010	-32
2011	-41
2012	-39
2013	-16
2014	-20
2015	-20
2016	-16
2017	11
2018	-23
2019	-9
2020	-40
2021	-53
